ID,Name,Food Type,Details,Smoking Area,Price Range,City,State,Image,Waiter Count,People,Total,Tip,Payment Method,Classification
1,Ocean's Catch,Mediterranean,"Fresh seafood dishes with a coastal vibe, inspired by the ocean's best catches.",Yes,$$$,Houston,TX,pexels-photo-2042591.jpeg,3,6.119587242026267,110.36758549093183,13.808968980612883,Debit Card,Good
2,Spice Symphony,American,An orchestra of flavors from around the world with an emphasis on bold spices.,Yes,$$$,San Diego,TX,pexels-photo-29172133.jpeg,6,5.727652519893899,109.59247653783,14.036327302008337,Cash,Good
3,La Bella Cucina,Chinese,"Authentic Italian cuisine served in a cozy, family-style setting.",No,$$$$,Los Angeles,TX,pexels-photo-29132866.jpeg,10,5.31124428232297,111.86881419720919,13.980219732499565,Cash,Good
4,The Burger Bar,Mexican,Classic and gourmet burgers with a variety of creative toppings and sides.,No,$,Dallas,AZ,pexels-photo-7317354.jpeg,4,5.325479668289646,108.7765042019609,13.046276206674227,Cash,Bad
5,Veggie Garden,Cafe,"A plant-based paradise featuring vibrant, fresh vegetarian and vegan dishes.",Yes,$$$,Los Angeles,TX,pexels-photo-28577205.jpeg,3,5.64566798941799,109.97408895502645,13.949824735449736,Credit Card,Good
6,Prime Steakhouse,Mexican,Premium cuts of steak grilled to perfection in an upscale environment.,Yes,$$$,New York,NY,pexels-photo-8477074.jpeg,9,5.322565556343019,110.36155849279471,13.914049704701156,Credit Card,Good
7,Fiesta Mexicana,Steakhouse,Festive Mexican dining with a colorful array of traditional favorites.,Yes,$$,Dallas,NY,pexels-photo-8637991.jpeg,10,5.750090905813337,106.16316533011944,13.097957874297604,Mobile Payment,Bad
8,Sushi Central,Thai,A sushi lover's dream with a variety of fresh rolls and sashimi.,Yes,$$$,New York,IL,pexels-photo-22607740.jpeg,9,5.502181831295755,114.28084824952617,13.6592856055233,Credit Card,Bad
9,Pasta Palace,Mexican,A kingdom of pasta varieties and Italian sauces for a taste of Italy.,Yes,$$$$,New York,TX,pexels-photo-17546505.jpeg,9,5.7831521739130425,113.2138695652174,14.605577898550726,Cash,Good
10,The Breakfast Nook,Mexican,Cozy breakfast and brunch classics served all day.,No,$$$,Dallas,AZ,pexels-photo-29071631.jpeg,5,5.505647739321717,114.09783502666603,13.930153844023485,Cash,Good
11,Grill & Chill,Greek,A relaxed spot for perfectly grilled meats and refreshing drinks.,Yes,$$$,Houston,TX,pexels-photo-9630132.jpeg,4,6.083600229941694,102.60225034901863,12.178864252278885,Cash,Bad
12,Casa di Amici,Thai,"Italian for 'House of Friends', a warm place for Italian dishes and camaraderie.",No,$$$,Austin,CA,pexels-photo-2480399.jpeg,5,5.502578849721707,110.14706437847865,13.940475200989487,Mobile Payment,Good
13,Burger Bliss,Cafe,"Burger perfection, from classic to creative, with all the fixings.",No,$$$,San Antonio,TX,pexels-photo-29153209.jpeg,10,5.519672320295373,113.92972366447445,14.544149936540903,Cash,Good
14,Edo Sushi,Thai,Japanese-inspired sushi and sashimi with an emphasis on freshness.,No,$,San Diego,CA,pexels-photo-16471975.jpeg,3,5.511124534380348,112.63199352327258,13.632689855364271,Cash,Bad
15,The Tandoori House,Italian,Traditional Indian flavors with a focus on tandoori specialties.,Yes,$,Phoenix,AZ,pexels-photo-29123388.jpeg,6,5.726263982858768,104.4412463432695,13.326095526892983,Mobile Payment,Bad
16,BBQ Junction,Thai,"Southern BBQ with a variety of smoked meats, sauces, and sides.",Yes,$$$$,Phoenix,TX,pexels-photo-29177620.jpeg,8,5.681642901981885,110.1522124857476,13.326723676287841,Cash,Bad
17,The Salad Corner,Greek,"Fresh, custom salads with a wide selection of greens and toppings.",Yes,$$,Los Angeles,NY,pexels-photo-8472173.jpeg,8,5.563248906377496,106.57702589623268,13.537977178301967,Cash,Bad
